Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-09-2023,EQ,2101.00,2140.00,2091.40,2100.45,2119.00,2120.45,2118.59,2372.70,1730.00,155386.00,329199404.65,12906.00
28-09-2023,EQ,2141.75,2156.50,2082.20,2141.75,2108.85,2100.45,2118.01,2372.70,1730.00,230858.00,488959883.30,19540.00
27-09-2023,EQ,2114.90,2149.90,2100.00,2108.05,2139.75,2141.75,2131.19,2372.70,1730.00,249896.00,532574787.85,20854.00
26-09-2023,EQ,2148.00,2154.00,2100.00,2138.10,2113.90,2108.05,2126.63,2372.70,1730.00,263970.00,561366415.80,20503.00
25-09-2023,EQ,2126.75,2157.00,2120.95,2128.30,2138.00,2138.10,2143.68,2372.70,1730.00,219732.00,471035411.00,21331.00
22-09-2023,EQ,2180.50,2190.00,2123.00,2180.55,2126.75,2128.30,2149.42,2372.70,1730.00,264047.00,567547773.80,22292.00
21-09-2023,EQ,2213.70,2232.25,2170.90,2213.70,2176.00,2180.55,2204.18,2372.70,1730.00,294980.00,650189162.85,20097.00
